,country,pop_2021,area,pop_density,number_starbucks,sb_per_capita
2,United States,336997624,9372610,36,15003,4.5
130,Kuwait,4250114,17818,240,181,4.3
39,Canada,38155012,9984670,4,1219,3.2
178,Bahamas,407906,13943,29,13,3.2
29,South Korea,51830139,100210,517,1493,2.9
157,Bahrain,1463265,765,1924,39,2.7
113,Singapore,5941060,710,8416,150,2.5
97,United Arab Emirates,9365145,83600,113,220,2.3
104,Hong Kong,7494578,1104,6783,173,2.3
57,Taiwan,23859912,36193,660,507,2.1
145,Qatar,2688235,11586,233,46,1.7
20,United Kingdom,67281039,242900,278,975,1.4
10,Japan,124612530,377930,328,1665,1.3
126,Ireland,4986526,70273,71,52,1.0
45,Malaysia,33573874,330803,103,317,0.9
120,Lebanon,5592631,10452,525,43,0.8
41,Saudi Arabia,35950396,2149690,17,250,0.7
17,Turkey,84775404,783562,109,474,0.6
19,Thailand,71601103,513120,140,388,0.5
124,New Zealand,5129727,270467,19,26,0.5
9,Mexico,126705138,1964375,65,612,0.5
71,Netherlands,17501696,41850,420,69,0.4
88,Czech Republic,10510751,78865,133,40,0.4
128,Oman,4520471,309500,15,17,0.4
12,Philippines,113880328,342353,338,396,0.3
94,Hungary,9709786,93028,107,31,0.3
90,Greece,10445365,131990,79,32,0.3
44,Peru,33715471,1285216,26,96,0.3
83,Jordan,11148278,89342,126,30,0.3
81,Belgium,11611419,30528,382,30,0.3
33,Argentina,45276780,2780400,16,111,0.2
112,El Salvador,6314167,21041,301,15,0.2
177,Brunei,445373,5765,78,1,0.2
30,Spain,47486935,505992,94,91,0.2
99,Austria,8922082,83871,107,17,0.2
0,China,1425893465,9706961,147,2665,0.2
64,Romania,19328560,238391,82,34,0.2
37,Poland,38307726,312679,127,62,0.2
108,Bulgaria,6885868,110879,61,11,0.2
3,Indonesia,273753191,1904569,145,422,0.2
22,France,64531444,551695,117,94,0.1
92,Portugal,10290103,92090,112,13,0.1
116,Slovakia,5447622,49037,115,6,0.1
8,Russia,145102755,17098242,8,88,0.1
68,Guatemala,17608483,108889,164,10,0.1
65,Chile,19493184,756102,26,8,0.0
18,Germany,83408554,357114,233,29,0.0
155,Equatorial Guinea,1634466,28051,60,0,0.0
153,Latvia,1873919,64559,29,0,0.0
151,Guinea Bissau,2060721,36125,58,0,0.0
