,store_number,city,country,latitude,longitude,ownership_type,open_time
2103,5924-40339,Palmdale,United States,34.601204,-118.143415,Company Owned,3:30 AM
2116,20489-206264,Santa Clarita,United States,34.426662,-118.425256,Company Owned,3:30 AM
2559,9391-96402,Fresno,United States,36.742937,-119.779758,Company Owned,3:30 AM
2792,64838-294463,Hollister,United States,36.8573,-121.401438,Company Owned,3:30 AM
2817,5840-26567,Hawthorne,United States,33.901253,-118.37418,Company Owned,3:30 AM
2905,3337-231784,Silverdale,United States,47.650789,-122.692513,Company Owned,3:30 AM
2911,16935-160805,Bremerton,United States,47.568219,-122.667371,Company Owned,3:30 AM
2917,3263-1938,Port Orchard,United States,47.51919,-122.62719,Company Owned,3:30 AM
3217,6551-63799,Fremont,United States,37.511246,-121.947944,Company Owned,3:30 AM
3218,9259-96186,Fremont,United States,37.504153,-121.976144,Company Owned,3:30 AM
3591,9449-95835,Phoenix,United States,33.676238,-111.978229,Company Owned,3:30 AM
4319,5622-224206,Peoria,United States,33.637716,-112.232619,Company Owned,3:30 AM
4498,5545-1653,San Leandro,United States,37.71163,-122.162478,Company Owned,3:30 AM
6027,23634-228544,Tempe,United States,33.407134,-111.965159,Company Owned,3:30 AM
6250,9318-94483,Fife,United States,47.242768,-122.365142,Company Owned,3:30 AM
6261,3451-88086,Lakewood,United States,47.163269,-122.48416,Company Owned,3:30 AM
6284,9213-9395,San Francisco,United States,37.794606,-122.402695,Company Owned,3:30 AM
7059,3271-246405,Everett,United States,47.881461,-122.238372,Company Owned,3:30 AM
7060,3813-78203,Everett,United States,47.930429,-122.221288,Company Owned,3:30 AM
7066,8740-94503,Everett,United States,47.969284,-122.200851,Company Owned,3:30 AM
7081,379-204,Vancouver,United States,45.621249,-122.554289,Company Owned,3:30 AM
7728,54835-286763,San Tan Valley,United States,33.249609,-111.562307,Company Owned,3:30 AM
9485,24325-237107,Montclair,United States,34.084529,-117.689151,Company Owned,3:30 AM
9515,3411-81720,Mukilteo,United States,47.906123,-122.29405,Company Owned,3:30 AM
9517,11212-103414,Mukilteo,United States,47.884434,-122.281629,Company Owned,3:30 AM
10071,5377-239765,Gilbert,United States,33.336031,-111.807577,Company Owned,3:30 AM
11338,7957-95208,Stockton,United States,37.987349,-121.244912,Company Owned,3:30 AM
11644,3385-73841,Federal Way,United States,47.315455,-122.307044,Company Owned,3:30 AM
11855,6662-72254,Richmond,United States,37.990297,-122.334875,Company Owned,3:30 AM
11857,9490-94433,Petaluma,United States,38.233705,-122.599461,Company Owned,3:30 AM
12020,6902-85300,Valencia,United States,34.432797,-118.591035,Company Owned,3:30 AM
12043,21062-99872,Kapolei,United States,21.329148,-158.086681,Company Owned,3:30 AM
12047,21073-102259,Waianae,United States,21.435059,-158.184363,Company Owned,3:30 AM
12544,3408-270326,Seattle,United States,47.546162,-122.325625,Company Owned,3:30 AM
14063,19828-200204,Rockford,United States,42.23928,-89.028627,Company Owned,3:30 AM
15469,6914-73214,Pittsburg,United States,38.013407,-121.868112,Company Owned,3:30 AM
15630,21047-93484,Kaneohe,United States,21.420002,-157.802655,Company Owned,3:30 AM
25597,11745-72996,Morgan Hill,United States,37.155822,-121.650858,Company Owned,3:30 AM
