,store_number,city,country,latitude,longitude,ownership_type,opening_time
0,1808-137814,Jakarta,ID,-6.340723,106.890058,LS,"('12', '00', 'AM')"
1,53766-286006,Depok,ID,-6.374906,106.895218,LS,"('23', '23', 'AM')"
2,52005-280485,Jakarta,ID,-6.312642,106.861901,LS,"('23', '23', 'AM')"
3,58345-292512,Bekasi,ID,-6.311874,106.923717,LS,"('23', '23', 'AM')"
4,21169-209904,Jakarta,ID,-6.38053,106.913,LS,"('23', '23', 'AM')"
5,59103-293287,Depok,ID,-6.354718,106.845963,LS,"('23', '23', 'AM')"
6,31920-108077,Jakarta Selatan,ID,-6.3045,106.85047,LS,"('6', '30', 'AM')"
7,25461-220807,Jakarta,ID,-6.3033,106.848,LS,"('23', '23', 'AM')"
8,25119-240088,DKI Jakarta,ID,-6.303542,106.84552,LS,"('23', '23', 'AM')"
9,50640-275430,Depok,ID,-6.379752,106.843827,LS,"('23', '23', 'AM')"
10,15255-288598,Depok,ID,-6.363782,106.833411,LS,"('8', '00', 'AM')"
11,54548-286805,Bogor,ID,-6.350819,106.96204,LS,"('23', '23', 'AM')"
12,52179-281046,Depok,ID,-6.383629,106.829566,LS,"('23', '23', 'AM')"
13,65543-299990,Bekasi,ID,-6.269073,106.911958,LS,"('23', '23', 'AM')"
14,56723-290659,Jakarta,ID,-6.26532,106.883968,LS,"('23', '23', 'AM')"
15,60080-294382,Bogor,ID,-6.39098,106.94803,LS,"('23', '23', 'AM')"
16,24194-227824,Jakarta,ID,-6.260641,106.886574,LS,"('23', '23', 'AM')"
17,56105-290037,Bekasi,ID,-6.295707,106.9599,LS,"('23', '23', 'AM')"
18,15371-159195,Jakarta,ID,-6.292632,106.820534,LS,"('23', '23', 'AM')"
19,3061-150704,Jakarta,ID,-6.29177,106.816193,LS,"('6', '30', 'AM')"
20,61515-295980,Bekasi,ID,-6.258814,106.926113,LS,"('23', '23', 'AM')"
21,24669-236964,Jakarta,ID,-6.25696,106.854,LS,"('23', '23', 'AM')"
22,35616-92977,Jakarta,ID,-6.26987,106.83088,LS,"('8', '00', 'AM')"
23,61519-295978,Bogor,ID,-6.433971,106.892252,LS,"('23', '23', 'AM')"
24,24641-224446,Jogjakarta,ID,-6.291897,106.971186,LS,"('23', '23', 'AM')"
25,23803-225015,Jakarta,ID,-6.29274,106.80793,LS,"('23', '23', 'AM')"
26,17447-182012,Jakarta,ID,-6.256086,106.843083,LS,"('23', '23', 'AM')"
27,55745-289665,Jakarta,ID,-6.244356,106.875383,LS,"('23', '23', 'AM')"
28,24693-238765,Jakarta,ID,-6.24281,106.897743,LS,"('23', '23', 'AM')"
29,27656-300582,Jakarta,ID,-6.304605,106.794893,LS,"('23', '23', 'AM')"
30,47335-257770,Jakarta,ID,-6.29208,106.79949,LS,"('23', '23', 'AM')"
31,18216-187484,Jakarta,ID,-6.27769,106.80826,LS,"('7', '00', 'AM')"
32,60096-294380,Jakarta,ID,-6.257233,106.828257,LS,"('23', '23', 'AM')"
33,21161-209905,Jakarta,ID,-6.29215,106.79744,LS,"('23', '23', 'AM')"
34,26490-220805,Jakarta,ID,-6.284107,106.80208,LS,"('23', '23', 'AM')"
35,35607-79421,Jakarta,ID,-6.29203,106.79693,LS,"('7', '00', 'AM')"
36,35626-96757,Jakarta,ID,-6.243485,106.85112,LS,"('7', '00', 'AM')"
37,26222-220798,JAKARTA,ID,-6.32462,106.786,LS,"('23', '23', 'AM')"
38,20011-199147,Bekasi,ID,-6.273469,106.970841,LS,"('23', '23', 'AM')"
39,65800-300313,Depok,ID,-6.395064,106.799846,LS,"('23', '23', 'AM')"
40,52181-281048,Depok,ID,-6.332769,106.780651,LS,"('23', '23', 'AM')"
41,58887-293169,Jakarta,ID,-6.231812,106.897412,LS,"('23', '23', 'AM')"
42,31316-106290,Jakarta,ID,-6.24249,106.84084,LS,"('6', '30', 'AM')"
43,58894-293173,Jakarta,ID,-6.277484,106.797555,LS,"('23', '23', 'AM')"
44,25450-224448,Jakarta,ID,-6.2411,106.836449,LS,"('23', '23', 'AM')"
45,19181-199149,Jakarta,ID,-6.283352,106.790512,LS,"('7', '00', 'AM')"
46,28098-249936,Jakarta,ID,-6.27155,106.797401,LS,"('23', '23', 'AM')"
47,60287-294523,Bekasi,ID,-6.269902,106.981484,LS,"('23', '23', 'AM')"
48,55058-288843,Jakarta,ID,-6.232904,106.844083,LS,"('23', '23', 'AM')"
49,55410-289275,Jakarta,ID,-6.229324,106.85324,LS,"('23', '23', 'AM')"
50,1804-136386,Jakarta,ID,-6.244901,106.782272,LS,"('9', '00', 'AM')"
51,30658-100504,Jakarta,ID,-6.244901,106.782362,LS,"('8', '30', 'AM')"
52,17445-182011,Jakarta,ID,-6.24597,106.782829,LS,"('8', '00', 'AM')"
53,62631-296945,Jakarta,ID,-6.244142,106.781329,LS,"('23', '23', 'AM')"
54,54532-286797,Jakarta,ID,-6.254475,106.78183,LS,"('23', '23', 'AM')"
55,61170-295558,Jakarta,ID,-6.239932,106.791167,LS,"('23', '23', 'AM')"
56,17195-177134,Jakarta,ID,-6.256895,106.781738,LS,"('6', '30', 'AM')"
57,27654-248313,Jakarta,ID,-6.24297,106.796433,LS,"('23', '23', 'AM')"
58,50643-275432,Jakarta,ID,-6.233,106.795972,LS,"('23', '23', 'AM')"
59,15647-163864,Makassar,ID,-6.24349,106.80104,LS,"('12', '00', 'AM')"
60,58783-293056,Jakarta,ID,-6.264489,106.782882,LS,"('23', '23', 'AM')"
61,35625-96898,Jakarta,ID,-6.244184,106.803474,LS,"('10', '00', 'AM')"
62,31139-289024,Jakarta,ID,-6.227147,106.794877,LS,"('10', '00', 'AM')"
63,1191-289022,Jakarta,ID,-6.227166,106.795019,LS,"('10', '00', 'AM')"
64,31138-289023,Jakarta,ID,-6.227189,106.795135,LS,"('7', '00', 'AM')"
65,61979-296482,Jakarta,ID,-6.24582,106.804649,LS,"('23', '23', 'AM')"
66,35623-95921,Jakarta,ID,-6.228177,106.798091,LS,"('10', '00', 'AM')"
67,26881-245967,Jakarta,ID,-6.25001,106.804848,LS,"('23', '23', 'AM')"
68,35604-79001,Jakarta,ID,-6.228073,106.798091,LS,"('6', '30', 'AM')"
69,49823-271381,Jakarta,ID,-6.221141,106.782292,LS,"('23', '23', 'AM')"
