,store_number,city,country,latitude,longitude,ownership_type,opening_time
0,34638-85784,Hong Kong,HK,22.3407,114.20169,LS,"('8', '30', 'AM')"
1,32141-267986,Hong Kong,HK,22.341694,114.194208,LS,"('7', '30', 'AM')"
2,15035-155445,Kowloon,HK,22.33352,114.19678,LS,"('8', '00', 'AM')"
3,49646-268445,香港,HK,22.331223,114.188143,LS,"('8', '00', 'AM')"
4,31944-224544,Hong Kong,HK,22.323871,114.203796,LS,"('8', '00', 'AM')"
5,21805-215565,Kowloon Tong,HK,22.3366,114.182904,LS,"('8', '00', 'AM')"
6,34610-28207,Kowloon,HK,22.32287,114.21344,LS,"('7', '00', 'AM')"
7,32240-132324,Hong Kong,HK,22.32068,114.21015,LS,"('7', '30', 'AM')"
8,31735-116128,Kowloon Bay,HK,22.31982,114.20857,LS,"('8', '30', 'AM')"
9,31601-277585,Hong Kong,HK,22.328222,114.181048,LS,"('7', '00', 'AM')"
10,27789-248689,Hong Kong,HK,22.335369,114.176125,LS,"('7', '30', 'AM')"
11,31295-106071,Kowloon Tong,HK,22.33735,114.17411,LS,"('7', '30', 'AM')"
12,28087-249911,Hong Kong,HK,22.315936,114.214427,LS,"('7', '30', 'AM')"
13,57658-291775,Hong Kong,HK,22.315382,114.21705,LS,"('23', '23', 'AM')"
14,28938-251933,Hong Kong,HK,22.323102,114.172155,LS,"('8', '00', 'AM')"
15,31484-108178,Hong Kong,HK,22.31385,114.2216,LS,"('7', '00', 'AM')"
16,24822-239032,Hong Kong,HK,22.309342,114.191437,LS,"('7', '30', 'AM')"
17,15929-163266,Mong Kok,HK,22.31853,114.17469,LS,"('8', '00', 'AM')"
18,16739-175266,Kowloon,HK,22.31955,114.17157,LS,"('8', '00', 'AM')"
19,15498-162224,Kowloon,HK,22.32257,114.16904,LS,"('8', '30', 'AM')"
20,57118-291147,Hong Kong,HK,22.310027,114.220882,LS,"('23', '23', 'AM')"
21,34651-97510,Kowloon,HK,22.31255,114.22524,LS,"('7', '30', 'AM')"
22,23427-230344,Hong Kong,HK,22.318242,114.169937,LS,"('8', '00', 'AM')"
23,28086-249917,Hong Kong,HK,22.310818,114.226208,LS,"('7', '30', 'AM')"
24,34650-96576,Kowloon,HK,22.31813,114.16866,LS,"('8', '00', 'AM')"
25,47110-256908,Hong Kong,HK,22.315398,114.17103,LS,"('8', '00', 'AM')"
26,32539-136288,Kowloon,HK,22.30386,114.18883,LS,"('7', '30', 'AM')"
27,49951-271867,香港,HK,22.301677,114.188071,LS,"('7', '30', 'AM')"
28,22692-223905,Kowloon,HK,22.319787,114.162605,LS,"('8', '30', 'AM')"
